step,time,channel,effective_output,inst_dominance,smooth_dominance,winner,delta
116,1770939746.422512,D2,0.680747872,0.580702079,0.457515497,D2,0.125783591
117,1770939746.451298,D1,0.492002898,0.419383668,0.332900596,D2,0.126256245
117,1770939746.451298,D2,0.681154132,0.580616332,0.459156841,D2,0.126256245
118,1770939746.480797,D1,0.492345743,0.419408053,0.334054029,D2,0.126721947
118,1770939746.480797,D2,0.681560527,0.580591947,0.460775976,D2,0.126721947
119,1770939746.510084,D1,0.492635499,0.419397947,0.335191948,D2,0.127181709
119,1770939746.510084,D2,0.681989942,0.580602053,0.462373657,D2,0.127181709
120,1770939746.539559,D1,0.492949271,0.419326240,0.336313738,D2,0.127637253
120,1770939746.539559,D2,0.682625316,0.580673760,0.463950992,D2,0.127637253
121,1770939746.577897,D1,0.493286555,0.419276352,0.337419907,D2,0.128088054
121,1770939746.577897,D2,0.683232351,0.580723648,0.465507960,D2,0.128088054
122,1770939746.608268,D1,0.493709184,0.419268033,0.338511215,D2,0.128533065
122,1770939746.608268,D2,0.683841084,0.580731967,0.467044280,D2,0.128533065
123,1770939746.638566,D1,0.494001138,0.419255114,0.339587800,D2,0.128972488
123,1770939746.638566,D2,0.684281777,0.580744886,0.468560289,D2,0.128972488
124,1770939746.668367,D1,0.494298546,0.419260836,0.340650107,D2,0.129405899
124,1770939746.668367,D2,0.684677652,0.580739164,0.470056007,D2,0.129405899
125,1770939746.697608,D1,0.494584201,0.419279399,0.341698498,D2,0.129833037
125,1770939746.697608,D2,0.685021098,0.580720601,0.471531535,D2,0.129833037
126,1770939746.726947,D1,0.495076629,0.419364392,0.342734043,D2,0.130252213
126,1770939746.726947,D2,0.685463823,0.580635608,0.472986256,D2,0.130252213
127,1770939746.755890,D1,0.495342625,0.419337829,0.343755427,D2,0.130666508
127,1770939746.755890,D2,0.685906932,0.580662171,0.474421935,D2,0.130666508
128,1770939746.785632,D1,0.495739225,0.419415564,0.344764229,D2,0.131073206
128,1770939746.785632,D2,0.686237001,0.580584436,0.475837435,D2,0.131073206
129,1770939746.814189,D1,0.496025684,0.419419083,0.345759627,D2,0.131474387
129,1770939746.814189,D2,0.686623612,0.580580917,0.477234014,D2,0.131474387
130,1770939746.843584,D1,0.496074372,0.419200581,0.346738840,D2,0.131876047
130,1770939746.843584,D2,0.687307508,0.580799419,0.478614886,D2,0.131876047
131,1770939746.881324,D1,0.496429157,0.419109681,0.347703784,D2,0.132274775
131,1770939746.881324,D2,0.688055908,0.580890319,0.479978559,D2,0.132274775
132,1770939746.911118,D1,0.496616837,0.418982786,0.348654171,D2,0.132671570
132,1770939746.911118,D2,0.688674906,0.581017214,0.481325741,D2,0.132671570
133,1770939746.939824,D1,0.497171789,0.419078136,0.349593157,D2,0.133060532
133,1770939746.939824,D2,0.689174494,0.580921864,0.482653689,D2,0.133060532
134,1770939746.969193,D1,0.497563702,0.419144986,0.350520515,D2,0.133442525
134,1770939746.969193,D2,0.689528400,0.580855014,0.483963040,D2,0.133442525
135,1770939746.998928,D1,0.497705423,0.419065034,0.351434442,D2,0.133821558
135,1770939746.998928,D2,0.689951343,0.580934966,0.485255999,D2,0.133821558
136,1770939747.028069,D1,0.498018411,0.418992679,0.352335218,D2,0.134197465
136,1770939747.028069,D2,0.690590450,0.581007321,0.486532684,D2,0.134197465
137,1770939747.057530,D1,0.498268009,0.419002276,0.353224112,D2,0.134568105
137,1770939747.057530,D2,0.690909324,0.580997724,0.487792217,D2,0.134568105
138,1770939747.087096,D1,0.498718240,0.419076637,0.354102146,D2,0.134931820
138,1770939747.087096,D2,0.691322424,0.580923363,0.489033966,D2,0.134931820
139,1770939747.117605,D1,0.498875141,0.419040674,0.354967993,D2,0.135291644
139,1770939747.117605,D2,0.691642084,0.580959326,0.490259638,D2,0.135291644
140,1770939747.147073,D1,0.499214772,0.419046609,0.355822375,D2,0.135646513
